Source,Target,Weight
ezhulenev,tensorflower-gardener,6
akuegel,tensorflower-gardener,6
hawkinsp,tensorflower-gardener,9
mihaimaruseac,tensorflower-gardener,2
tensorflower-gardener,yongtang,6
gunan,tensorflower-gardener,10
caisq,tensorflower-gardener,10
mrry,tensorflower-gardener,7
cheshire,tensorflower-gardener,6
roserg,tensorflower-gardener,2
benoitsteiner,tensorflower-gardener,10
jpienaar,tensorflower-gardener,2
qlzh727,tensorflower-gardener,5
d0k,tensorflower-gardener,6
pifon2a,tensorflower-gardener,6
River707,tensorflower-gardener,2
joker-eph,tensorflower-gardener,4
chsigg,tensorflower-gardener,6
martinwicke,tensorflower-gardener,10
tensorflower-gardener,yifeif,10
allenlavoie,tensorflower-gardener,4
ddunl,tensorflower-gardener,6
smit-hinsu,tensorflower-gardener,2
tensorflower-gardener,yangustc07,2
jreiffers,tensorflower-gardener,6
jsimsa,tensorflower-gardener,3
klucke,tensorflower-gardener,4
ebrevdo,tensorflower-gardener,5
alextp,tensorflower-gardener,7
akuegel,ezhulenev,6
ezhulenev,hawkinsp,6
ezhulenev,mihaimaruseac,2
ezhulenev,yongtang,2
ezhulenev,gunan,2
caisq,ezhulenev,2
ezhulenev,mrry,2
cheshire,ezhulenev,6
ezhulenev,roserg,2
benoitsteiner,ezhulenev,2
ezhulenev,jpienaar,3
ezhulenev,qlzh727,2
d0k,ezhulenev,6
ezhulenev,pifon2a,6
River707,ezhulenev,2
ezhulenev,joker-eph,4
chsigg,ezhulenev,6
ezhulenev,martinwicke,2
ezhulenev,yifeif,2
allenlavoie,ezhulenev,2
ddunl,ezhulenev,6
ezhulenev,smit-hinsu,2
ezhulenev,yangustc07,2
ezhulenev,jreiffers,6
ezhulenev,jsimsa,2
ezhulenev,klucke,4
ebrevdo,ezhulenev,2
alextp,ezhulenev,2
akuegel,hawkinsp,7
akuegel,mihaimaruseac,2
akuegel,yongtang,2
akuegel,gunan,2
akuegel,caisq,2
akuegel,mrry,2
akuegel,cheshire,6
akuegel,roserg,2
akuegel,benoitsteiner,2
akuegel,jpienaar,4
akuegel,qlzh727,2
akuegel,d0k,10
akuegel,pifon2a,9
River707,akuegel,2
akuegel,joker-eph,6
akuegel,chsigg,9
akuegel,martinwicke,2
akuegel,yifeif,2
akuegel,allenlavoie,2
akuegel,ddunl,7
akuegel,smit-hinsu,2
akuegel,yangustc07,2
akuegel,jreiffers,6
akuegel,jsimsa,2
akuegel,klucke,4
akuegel,ebrevdo,2
akuegel,alextp,2
hawkinsp,mihaimaruseac,2
hawkinsp,yongtang,4
gunan,hawkinsp,5
caisq,hawkinsp,5
hawkinsp,mrry,5
cheshire,hawkinsp,6
hawkinsp,roserg,2
benoitsteiner,hawkinsp,5
hawkinsp,jpienaar,2
hawkinsp,qlzh727,2
d0k,hawkinsp,7
hawkinsp,pifon2a,6
River707,hawkinsp,2
hawkinsp,joker-eph,4
chsigg,hawkinsp,7
hawkinsp,martinwicke,5
hawkinsp,yifeif,5
allenlavoie,hawkinsp,4
ddunl,hawkinsp,7
hawkinsp,smit-hinsu,2
hawkinsp,yangustc07,2
hawkinsp,jreiffers,6
hawkinsp,jsimsa,3
hawkinsp,klucke,4
ebrevdo,hawkinsp,5
alextp,hawkinsp,5
mihaimaruseac,yongtang,3
gunan,mihaimaruseac,3
caisq,mihaimaruseac,2
mihaimaruseac,mrry,2
cheshire,mihaimaruseac,2
mihaimaruseac,roserg,2
benoitsteiner,mihaimaruseac,2
jpienaar,mihaimaruseac,2
mihaimaruseac,qlzh727,3
d0k,mihaimaruseac,2
mihaimaruseac,pifon2a,2
River707,mihaimaruseac,2
joker-eph,mihaimaruseac,3
chsigg,mihaimaruseac,2
martinwicke,mihaimaruseac,3
mihaimaruseac,yifeif,2
allenlavoie,mihaimaruseac,2
ddunl,mihaimaruseac,2
mihaimaruseac,smit-hinsu,2
mihaimaruseac,yangustc07,2
jreiffers,mihaimaruseac,2
jsimsa,mihaimaruseac,2
klucke,mihaimaruseac,2
ebrevdo,mihaimaruseac,2
alextp,mihaimaruseac,3
gunan,yongtang,8
caisq,yongtang,6
mrry,yongtang,6
cheshire,yongtang,2
roserg,yongtang,2
benoitsteiner,yongtang,6
jpienaar,yongtang,2
qlzh727,yongtang,6
d0k,yongtang,2
pifon2a,yongtang,2
River707,yongtang,2
joker-eph,yongtang,3
chsigg,yongtang,2
martinwicke,yongtang,8
yifeif,yongtang,6
allenlavoie,yongtang,4
ddunl,yongtang,2
smit-hinsu,yongtang,2
yangustc07,yongtang,2
jreiffers,yongtang,2
jsimsa,yongtang,3
klucke,yongtang,2
ebrevdo,yongtang,4
alextp,yongtang,8
caisq,gunan,10
gunan,mrry,7
cheshire,gunan,2
gunan,roserg,2
benoitsteiner,gunan,10
gunan,jpienaar,2
gunan,qlzh727,6
d0k,gunan,2
gunan,pifon2a,2
River707,gunan,2
gunan,joker-eph,3
chsigg,gunan,2
gunan,martinwicke,12
gunan,yifeif,10
allenlavoie,gunan,4
ddunl,gunan,2
gunan,smit-hinsu,2
gunan,yangustc07,2
gunan,jreiffers,2
gunan,jsimsa,3
gunan,klucke,2
ebrevdo,gunan,5
alextp,gunan,9
caisq,mrry,7
caisq,cheshire,2
caisq,roserg,2
benoitsteiner,caisq,10
caisq,jpienaar,2
caisq,qlzh727,4
caisq,d0k,2
caisq,pifon2a,2
River707,caisq,2
caisq,joker-eph,2
caisq,chsigg,2
caisq,martinwicke,10
caisq,yifeif,10
allenlavoie,caisq,4
caisq,ddunl,2
caisq,smit-hinsu,2
caisq,yangustc07,2
caisq,jreiffers,2
caisq,jsimsa,3
caisq,klucke,2
caisq,ebrevdo,5
alextp,caisq,7
cheshire,mrry,2
mrry,roserg,2
benoitsteiner,mrry,7
jpienaar,mrry,2
mrry,qlzh727,4
d0k,mrry,2
mrry,pifon2a,2
River707,mrry,2
joker-eph,mrry,2
chsigg,mrry,2
martinwicke,mrry,7
mrry,yifeif,7
allenlavoie,mrry,4
ddunl,mrry,2
mrry,smit-hinsu,2
mrry,yangustc07,2
jreiffers,mrry,2
jsimsa,mrry,3
klucke,mrry,2
ebrevdo,mrry,5
alextp,mrry,7
cheshire,roserg,2
benoitsteiner,cheshire,2
cheshire,jpienaar,2
cheshire,qlzh727,2
cheshire,d0k,6
cheshire,pifon2a,6
River707,cheshire,2
cheshire,joker-eph,4
cheshire,chsigg,6
cheshire,martinwicke,2
cheshire,yifeif,2
allenlavoie,cheshire,2
cheshire,ddunl,6
cheshire,smit-hinsu,2
cheshire,yangustc07,2
cheshire,jreiffers,6
cheshire,jsimsa,2
cheshire,klucke,4
cheshire,ebrevdo,2
alextp,cheshire,2
benoitsteiner,roserg,2
jpienaar,roserg,2
qlzh727,roserg,2
d0k,roserg,2
pifon2a,roserg,2
River707,roserg,2
joker-eph,roserg,2
chsigg,roserg,2
martinwicke,roserg,2
roserg,yifeif,2
allenlavoie,roserg,2
ddunl,roserg,2
roserg,smit-hinsu,2
roserg,yangustc07,2
jreiffers,roserg,2
jsimsa,roserg,2
klucke,roserg,2
ebrevdo,roserg,2
alextp,roserg,2
benoitsteiner,jpienaar,2
benoitsteiner,qlzh727,4
benoitsteiner,d0k,2
benoitsteiner,pifon2a,2
River707,benoitsteiner,2
benoitsteiner,joker-eph,2
